Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Is_parent,Household,Age,Seniority,Total_Spent,Total_Accepted_Campaigns,Total_purchases
Graduation,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,Not Parent,1,57,663,1617,0,25
Graduation,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,Parent,3,60,113,27,0,6
Graduation,Together,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,Not Parent,2,49,312,776,0,21
Graduation,Together,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,Parent,3,30,139,53,0,8
PostGraduation,Together,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,Parent,3,33,161,422,0,19
PostGraduation,Together,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,Parent,3,47,293,716,0,22
Graduation,Single,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,Parent,2,43,593,590,0,21
PostGraduation,Together,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,Parent,3,29,417,169,0,10
PostGraduation,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,Parent,3,40,388,46,0,6
PostGraduation,Together,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,Parent,4,64,108,49,1,2
UnderGraduation,Together,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,Not Parent,2,38,593,61,0,6
Graduation,Single,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,Not Parent,1,55,226,1102,0,16
PostGraduation,Single,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,Parent,3,62,226,310,0,15
Graduation,Together,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,Not Parent,2,27,627,46,0,5
PostGraduation,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,Not Parent,1,68,582,1315,2,26
Graduation,Together,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,Parent,4,34,552,96,0,9
Graduation,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,Not Parent,2,68,667,317,0,13
PostGraduation,Together,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,Parent,3,65,458,1782,1,26
UnderGraduation,Single,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,Parent,2,29,603,133,0,8
Graduation,Together,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,Not Parent,2,32,690,316,0,12
Graduation,Together,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,Parent,3,35,539,1730,0,43
PostGraduation,Together,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,Parent,3,65,553,972,1,17
PostGraduation,Together,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,Parent,3,60,169,544,0,20
Graduation,Together,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,Parent,3,63,468,444,0,20
Graduation,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,Not Parent,1,45,543,75,0,8
Graduation,Together,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,Parent,4,38,398,257,0,14
Graduation,Together,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,Parent,3,25,394,131,0,9
PostGraduation,Together,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,Not Parent,2,49,219,1672,1,26
PostGraduation,Single,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,Not Parent,1,25,38,30,0,8
PostGraduation,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,Not Parent,2,51,414,318,0,11
Graduation,Together,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,Parent,3,44,627,120,1,9
PostGraduation,Single,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,Parent,3,62,608,302,0,17
PostGraduation,Together,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,Not Parent,2,68,494,1196,0,18
PostGraduation,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,Parent,3,63,304,65,0,6
PostGraduation,Together,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,Parent,3,44,180,913,0,28
UnderGraduation,Together,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,Parent,3,38,300,81,0,9
Graduation,Single,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,Parent,2,41,138,67,0,7
PostGraduation,Single,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,Not Parent,1,71,513,902,1,24
Graduation,Together,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,Parent,3,34,426,1395,0,21
PostGraduation,Together,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,Parent,3,29,474,53,0,7
Graduation,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,Parent,3,57,552,22,0,4
PostGraduation,Together,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,Parent,3,39,270,31,0,8
Graduation,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,Not Parent,1,38,1,984,0,16
